DATE,MNO W,MNO X,MNO Y,MNO Z,,,
1/1/2018,99.070,99.230,97.850,98.470,,,
1/2/2018,99.500,99.160,97.450,97.980,,,
1/3/2018,99.190,99.210,98.980,99.020,,,
1/4/2018,98.770,99.150,97.320,98.320,,,
1/5/2018,99.421,98.840,99.080,98.560,,,
1/6/2018,97.468,98.950,98.540,99.010,,,
1/7/2018,99.339,98.940,97.980,98.980,,,
1/8/2018,97.303,99.210,98.320,98.540,,,
1/9/2018,99.227,98.950,98.120,99.400,,,
1/10/2018,99.046,99.340,98.650,99.210,,,
1/11/2018,97.861,99.210,97.450,98.700,,,
1/12/2018,98.970,99.150,98.780,98.240,,,
1/13/2018,97.685,99.210,96.560,99.210,,,
1/14/2018,98.344,98.580,98.120,97.960,,,
1/15/2018,95.198,99.220,98.080,98.780,,,
1/16/2018,96.922,89.980,93.870,98.980,,,
1/17/2018,95.545,99.320,95.430,99.020,,,
1/18/2018,97.662,98.980,98.540,98.760,,,
1/19/2018,98.340,99.320,95.340,98.900,,,
1/20/2018,97.560,99.120,97.320,97.560,,,
1/21/2018,98.780,98.650,98.870,98.670,,,
1/22/2018,98.880,99.210,98.320,99.120,,,
1/23/2018,96.670,99.230,95.600,97.080,,,
1/24/2018,97.560,98.970,97.560,96.870,,,
1/25/2018,98.760,99.120,98.450,96.680,,,
1/26/2018,99.531,98.540,98.450,98.860,,,
1/27/2018,99.612,98.230,97.450,99.020,,,
1/28/2018,99.542,99.320,98.450,98.230,,,
1/29/2018,99.013,99.650,97.650,98.460,,,
1/30/2018,98.186,98.670,95.670,98.890,,,
1/31/2018,98.394,98.780,90.540,98.980,,,
2/1/2018,98.394,99.280,97.450,99.160,,,
2/2/2018,99.126,98.780,95.320,98.870,,,
2/3/2018,98.167,99.150,98.540,98.670,,,
2/4/2018,98.419,99.140,98.450,99.120,,,
2/5/2018,96.025,98.710,98.450,98.680,,,
2/6/2018,98.896,99.250,98.870,97.680,,,
2/7/2018,95.962,98.780,96.780,96.640,,,
2/8/2018,98.283,99.440,97.560,97.530,,,
2/9/2018,98.715,98.950,97.780,96.560,,,
2/10/2018,98.453,98.910,98.670,97.540,,,
2/11/2018,98.290,99.130,98.670,97.980,,,
2/12/2018,97.887,99.410,98.560,97.690,,,
2/13/2018,98.653,98.950,99.090,97.560,,,
2/14/2018,97.868,99.350,98.870,98.650,,,
2/15/2018,99.329,98.950,98.090,98.560,,,
2/16/2018,97.818,99.150,98.560,98.350,,,
2/17/2018,98.728,98.710,97.560,98.120,,,
2/18/2018,97.295,98.910,98.670,98.240,,,
2/19/2018,99.039,99.150,98.560,98.360,,,
2/20/2018,99.033,99.310,97.560,98.960,,,
2/21/2018,99.149,99.050,97.890,99.040,,,
2/22/2018,98.636,97.850,99.050,97.560,,,
2/23/2018,98.724,99.330,99.120,98.460,,,
2/24/2018,98.940,99.410,98.560,98.560,,,
2/25/2018,98.931,98.650,98.560,96.340,,,
2/26/2018,99.783,99.190,98.980,98.680,,,
2/27/2018,98.501,99.040,98.120,98.440,,,
2/28/2018,98.599,99.120,98.210,98.120,,,
3/1/2018,98.739,99.310,98.720,98.120,,,
3/2/2018,98.213,98.540,99.300,97.340,,,
3/3/2018,96.235,98.190,98.540,96.670,,,
3/4/2018,98.906,99.250,97.360,98.460,,,
3/5/2018,98.705,99.150,96.730,98.460,,,
3/6/2018,96.877,98.910,98.560,97.680,,,
3/7/2018,94.931,99.150,98.450,97.980,,,
3/8/2018,93.288,99.270,98.450,95.000,,,
3/9/2018,98.788,98.950,97.250,95.870,,,
3/10/2018,99.065,99.480,97.450,98.670,,,
3/11/2018,99.750,99.050,98.560,98.980,,,
3/12/2018,98.390,99.130,97.760,97.870,,,
3/13/2018,98.699,99.190,98.600,98.460,,,
3/14/2018,99.216,99.160,97.980,98.670,,,
3/15/2018,98.136,98.940,98.560,97.210,,,
3/16/2018,98.958,99.230,97.560,98.300,,,
3/17/2018,98.663,99.140,98.650,97.670,,,
3/18/2018,99.780,99.350,98.670,98.450,,,
3/19/2018,99.682,98.740,98.670,99.350,,,
3/20/2018,98.920,98.910,98.450,98.970,,,
3/21/2018,99.041,98.640,97.930,99.040,,,
3/22/2018,99.370,98.950,97.660,99.120,,,
3/23/2018,98.303,98.250,98.540,98.680,,,
3/24/2018,97.889,99.150,89.980,98.340,,,
3/25/2018,99.099,98.910,98.560,98.560,,,
3/26/2018,98.362,98.950,98.780,98.560,,,
3/27/2018,98.567,99.120,98.240,98.120,,,
